,title,authors,journal,issn,volume,issue,pages,year,publisher,url,abstract,notes,doi,keywords,,,,,,,,,,
54,An efficient deep learning model for intrusion classification and prediction in 5G and IoT networks,"Shahadate Rezvy , Yuan Luo , Miltos Petridis , Aboubaker Lasebae , Tahmina Zebin ",2019 53rd Annual Conference on Information Sciences and Systems (CISS),,,,,2019,IEEE,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8693059,"A Network Intrusion Detection System is a critical component of every internet-connected system due to likely attacks from both external and internal sources. Such Security systems are used to detect network born attacks such as flooding, denial of service attacks, malware, and twin-evil intruders that are operating within the system. Neural networks have become an increasingly popular solution for network intrusion detection. Their capability of learning complex patterns and behaviors make them a suitable solution for differentiating between normal traffic and network attacks. In this paper, we have applied a deep autoencoded dense neural network algorithm for detecting intrusion or attacks in 5G and IoT network. We evaluated the algorithm with the benchmark Aegean Wi-Fi Intrusion dataset. Our results showed an excellent performance with an overall detection accuracy of 99.9% for Flooding, Impersonation and Injection type of attacks. We also presented a comparison with recent approaches used in literature which showed a substantial improvement in terms of accuracy and speed of detection with the proposed algorithm.",,10.1109/CISS.2019.8693059,"Deep learning , Neural networks , Intrusion detection , Feature extraction , Training , Internet of Things , Wireless networks ",,,,,,,,,,
55,Edge Cloud Server Deployment With Transmission Power Control Through Machine Learning for 6G Internet of Things,"Tiago Koketsu Rodrigues , Katsuya Suto , Nei Kato ",IEEE Transactions on Emerging Topics in Computing,2376-4562,9,4,,2021,IEEE,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8946743,"Cloud computing is an important technology for bringing a big pool of elastic resources to client devices. Their main drawback has long been the long distance between users and servers, but this has been remedied by Edge Cloud Computing, where the cloud servers are located in the network edge. Edge Cloud Computing is regarded as essential for future networks and consequently, there is plenty of research on how to optimize its operation. However, the vast majority of them ignore the decision of where the edge servers should be deployed, despite how severely this can affect the performance of the system. Furthermore, future networks must also deal with massive amounts of clients and servers, such as the ones characteristic of the Internet of Things and 6G Networks. This demands solutions that are scalable. Given these two points, we propose a Machine Learning-based server deployment policy in 6G Internet of Things environments. Our solution is proven to approach optimality while being feasible. Furthermore, we also prove that our proposal leads to lower latency and higher resource efficiency than conventional Edge Cloud Computing server deployment solutions.",,10.1109/TETC.2019.2963091,"Cloud computing , Servers , 6G mobile communication , Base stations , Edge computing , Computational modeling , Machine learning ",,,,,,,,,,
56,Artificial intelligence‐enabled sensing technologies in the 5G/internet of things era: from virtual reality/augmented reality to the digital twin,"Z Zhang, F Wen, Z Sun, X Guo, T He, ...",Advanced Intelligent …,2640-4567,4,7,2100228,2022,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1002/aisy.202100228,"With the development of 5G and Internet of Things (IoT), the era of big data-driven product design is booming. In addition, artificial intelligence (AI) is also emerging and evolving by recent breakthroughs in computing power and software architectures. In this regard, the digital twin, analyzing various sensor data with the help of AI algorithms, has become a cutting-edge technology that connects the physical and virtual worlds, in which the various sensors are highly desirable to collect environmental information. However, although existing sensor technologies, including cameras, microphones, inertial measurement units, etc., are widely used as sensing elements for various applications, high-power consumption and battery replacement of them is still a problem. Triboelectric nanogenerators (TENGs) as self-powered sensors supply a feasible platform for realizing self-sustainable and low-power systems. Herein, the recent progress on TENG-based intelligent systems, that is, wearable electronics, robot-related systems, and smart homes, followed by prospective future development enabled by sensor fusion technology, is focused on. Finally, how to apply artificial intelligence to the design of intelligent sensor systems for the 5G and IoT era is discussed.",,10.1002/aisy.202100228,,,,,,,,,,,
57,Distributed artificial intelligence-as-a-service (DAIaaS) for smarter IoE and 6G environments,"N Janbi, I Katib, A Albeshri, R Mehmood",Sensors,1424-8220,20,20,5796,2020,mdpi.com,https://www.mdpi.com/854906,"Artificial intelligence (AI) has taken us by storm, helping us to make decisions in everything we do, even in finding our “true love” and the “significant other”. While 5G promises us high-speed mobile internet, 6G pledges to support ubiquitous AI services through next-generation softwarization, heterogeneity, and configurability of networks. The work on 6G is in its infancy and requires the community to conceptualize and develop its design, implementation, deployment, and use cases. Towards this end, this paper proposes a framework for Distributed AI as a Service (DAIaaS) provisioning for Internet of Everything (IoE) and 6G environments. The AI service is “distributed” because the actual training and inference computations are divided into smaller, concurrent, computations suited to the level and capacity of resources available with cloud, fog, and edge layers. Multiple DAIaaS provisioning configurations for distributed training and inference are proposed to investigate the design choices and performance bottlenecks of DAIaaS. Specifically, we have developed three case studies (e.g., smart airport) with eight scenarios (e.g., federated learning) comprising nine applications and AI delivery models (smart surveillance, etc.) and 50 distinct sensor and software modules (e.g., object tracker). The evaluation of the case studies and the DAIaaS framework is reported in terms of end-to-end delay, network usage, energy consumption, and financial savings with recommendations to achieve higher performance. DAIaaS will facilitate standardization of distributed AI provisioning, allow developers to focus on the domain-specific details without worrying about distributed training and inference, and help systemize the mass-production of technologies for smarter environments.",,10.3390/s20205796," internet of everything (IoE), 6th generation, (6G) networks, artificial intelligence, Distributed AI as a Service (DAIaaS), fog computing, edge computing, cloud computing, smart airport, smart districts",,,,,,,,,,
58,Enhanced Deployment Strategy for the 5G Drone-BS Using Artificial Intelligence,"Fadi Al-Turjman , Joel Poncha Lemayian , Sinem Alturjman , Leonardo Mostarda ",IEEE Access,2169-3536,7,,,2019,IEEE,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8732936,"The use of drones to perform various task has recently gained a lot of attention. Drones have been used by traders to deliver goods to customers, scientists, and researchers to observe and search for endangered species, and by the military during critical operations. The flexibility of drones in remote controlling makes them ideal candidates to perform critical tasks with minimum time and cost. In this paper, we use drones to setup base stations that provide 5G cellular coverage over a given area in danger. The aim of this paper is to determine the optimum number of drones and their optimum location, such that each point in the selected area is covered with the least cost while considering communication relevant parameters such as data rate, latency, and throughput. The problem is mathematically modeled by forming linear optimization equations. For fast optimized solutions, genetic algorithm (GA) and simulated annealing (SA) algorithms are provisionally employed to solve the problem, and the results are accordingly compared. Using these two meta-heuristic methods, quick and relatively inexpensive feedback can be provided to designers and service providers in 5G next generation networks.",,10.1109/ACCESS.2019.2921729,"Drones , 5G mobile communication , Genetic algorithms , Base stations , Simulated annealing , Quality of service ",,,,,,,,,,
59,Optimizing Computation Offloading in Satellite-UAV-Served 6G IoT: A Deep Learning Approach,"Bomin Mao , Fengxiao Tang , Yuichi Kawamoto , Nei Kato ",IEEE Network,1558-156X,35,4,,2021,IEEE,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9520341,"Satellite networks can provide Internet of Things (IoT) devices in remote areas with seamless coverage and downlink multicast transmissions. However, the large transmission latency, serious path loss, as well as the energy and resource constraints of IoT terminals challenge the stringent service requirements for throughput and latency in the 6G era. To address these problems, technologies including space-air-ground integrated networks (SAGINs), machine learning, edge computing, and energy harvesting are highly expected in 6G IoT. In this article, we consider the unmanned aerial vehicles (UAVs) and satellites to offer wireless-powered IoT devices edge computing and cloud computing services, respectively. To accelerate the communications, Terahertz frequency bands are utilized for communications between UAVs and IoT devices. Since the tasks generated by terrestrial IoT devices can be conducted locally, offloaded to the UAV-based edge servers or remote cloud servers through satellites, we focus on the computation offloading problem and consider deep learning techniques to optimize the task success rate considering the energy dynamics and channel conditions. A deep-learning-based offloading policy optimization strategy is given where the long short-term memory model is considered to address the dynamics of energy harvesting performance. Through the theoretical explanation and performance analysis, we discover the importance of emerging technologies including SAGIN, energy harvesting, and artificial intelligence techniques for 6G IoT.",,10.1109/MNET.011.2100097,"6G mobile communication , Deep learning , Cloud computing , Satellites , Internet of Things , Energy harvesting , Servers ",,,,,,,,,,
60,Fusion of blockchain and artificial intelligence for secure drone networking underlying 5G communications,"R Gupta, A Kumari, S Tanwar",Transactions on Emerging …,1941-0050,32,1,e4176,2021,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1002/ett.4176?casa_token=I8Ntg5qXmAwAAAAA:FonOkHRvALYjMNxLMddnLUMJYPrROd_36SFakDnpiMHSnJY_l__Z6xsHjkt1jqX9YvuWgQyed7Y1CH7E,"The use of aerial base stations, AI cloud, and satellite storage can help manage location, traffic, and specific application-based services for vehicular social networks. However, sharing of such data makes the vehicular network vulnerable to data and privacy leakage. In this regard, this article proposes an efficient and secure data sharing scheme using community segmentation and a blockchain-based framework for vehicular social networks. The proposed work considers similarity matrices that employ the dynamics of structural similarity, modularity matrix, and data compatibility. These similarity matrices are then passed through stacked autoencoders that are trained to extract encoded embedding. A density-based clustering approach is then employed to find the community segments from the information distances between the encoded embeddings. A blockchain network based on the Hyperledger Fabric platform is also adopted to ensure data sharing security. Extensive experiments have been carried out to evaluate the proposed data-sharing framework in terms of the sum of squared error, sharing degree, time cost, computational complexity, throughput, and CPU utilization for proving its efficacy and applicability. The results show that the CSB framework achieves a higher degree of SD, lower computational complexity, and higher throughput.",,10.1109/TII.2022.3188963,,,,,,,,,,,
61,Machine learning for 5G and beyond: From model-based to data-driven mobile wireless networks,"Tianyu Wang , Shaowei Wang , Zhi-Hua Zhou ",China Communications,1673-5447,16,1,,2019,IEEE,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8633313,"During the past few decades, mobile wireless communications have experienced four generations of technological revolution, namely from 1G to 4G, and the deployment of the latest 5G networks is expected to take place in 2019. One fundamental question is how we can push forward the development of mobile wireless communications while it has become an extremely complex and sophisticated system. We believe that the answer lies in the huge volumes of data produced by the network itself, and machine learning may become a key to exploit such information. In this paper, we elaborate why the conventional model-based paradigm, which has been widely proved useful in pre-5G networks, can be less efficient or even less practical in the future 5G and beyond mobile networks. Then, we explain how the data-driven paradigm, using state-of-the-art machine learning techniques, can become a promising solution. At last, we provide a typical use case of the data-driven paradigm, i.e., proactive load balancing, in which online learning is utilized to adjust cell configurations in advance to avoid burst congestion caused by rapid traffic changes.",,10.12676/j.cc.2019.01.015,"5G mobile communication , Data models , Wireless networks , Machine learning , Computational modeling , Broadband antennas ",,,,,,,,,,
62,"Survey on Machine Learning for Intelligent End-to-End Communication Toward 6G: From Network Access, Routing to Traffic Control and Streaming Adaption","Fengxiao Tang , Bomin Mao , Yuichi Kawamoto , Nei Kato ",IEEE Communications Surveys & Tutorials,2373-745X,23,3,,2021,IEEE,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9403380,"The end-to-end quality of service (QoS) and quality of experience (QoE) guarantee is quite important for network optimization. The current 5G and conceived 6G network in the future with ultra high density, bandwidth, mobility and large scale brings urgent requirement of high efficient end-to-end optimization methods. The conventional network optimization methods without learning and intelligent decision ability are hard to handle the high complexity and dynamic scenarios of 6G. Recently, machine learning based QoS and QoE aware network optimization algorithms emerge as a hot research area and attract much attention, which is widely acknowledged as the potential solution for end-to-end optimization in 6G. However, there are still many critical issues of employing machine learning in networks, especially in 6G. In this paper, we give a comprehensive survey on the recent machine learning based network optimization methods to guarantee the end-to-end QoS and QoE. To easy to follow, we introduce the investigated works following the end-to-end transmission flow from network access, routing to network congestion control and adaptive steaming control. Then we discuss some open issues and potential future research directions.",,10.1109/COMST.2021.3073009,"Quality of service , Heuristic algorithms , 6G mobile communication , Quality of experience , Routing , Machine learning algorithms , Reinforcement learning ",,,,,,,,,,
63,A Heuristic Offloading Method for Deep Learning Edge Services in 5G Networks,"Xiaolong Xu , Daoming Li , Zhonghui Dai , Shancang Li , Xuening Chen ",IEEE Access,2169-3536,7,,,2019,IEEE,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8721102,"With the continuous development of the Internet of Things (IoT) and communications technology, especially under the epoch of 5G, mobile tasks with big scales of data have a strong demand in deep learning such as virtual speech recognition and video classification. Considering the limited computing resource and battery consumption of mobile devices (MDs), these tasks are often offloaded to the remote infrastructure, like cloud platforms, which leads to the unavoidable offloading transmission delay. Edge computing (EC) is a novel computing paradigm, capable of offloading the computation tasks to the edge of networks, which reduces the transmission delay between the MDs and cloud. Therefore, combining deep learning and EC is expected to be a solution for these tasks. However, how to decide the offloading destination [cloud or deep learning-enabled edge computing nodes (ECNs)] for computation offloading is still a challenge. In this paper, a heuristic offloading method, named HOM, is proposed to minimize the total transmission delay. To be more specific, an offloading framework for deep learning edge services is built upon centralized unit (CU)-distributed unit (DU) architecture. Then, we acquire the appropriate offloading strategy by the origin-destination ECN distance estimation and heuristic searching of the destination virtual machines for accommodating the offloaded computation tasks. Finally, the effectiveness of the scheme is verified by detailed experimental evaluations.",,10.1109/ACCESS.2019.2918585,"Task analysis , Deep learning , 5G mobile communication , Delays , Cloud computing , Internet of Things , Edge computing ",,,,,,,,,,
64,A Survey of Online Data-Driven Proactive 5G Network Optimisation Using Machine Learning,"Bo Ma , Weisi Guo , Jie Zhang ",IEEE Access,2169-3536,8,,,2020,IEEE,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9003183,"In the fifth-generation (5G) mobile networks, proactive network optimisation plays an important role in meeting the exponential traffic growth, more stringent service requirements, and to reduce capital and operational expenditure. Proactive network optimisation is widely acknowledged as one of the most promising ways to transform the 5G network based on big data analysis and cloud-fog-edge computing, but there are many challenges. Proactive algorithms will require accurate forecasting of highly contextualised traffic demand and quantifying the uncertainty to drive decision making with performance guarantees. Context in Cyber-Physical-Social Systems (CPSS) is often challenging to uncover, unfolds over time, and even more difficult to quantify and integrate into decision making. The first part of the review focuses on mining and inferring CPSS context from heterogeneous data sources, such as online user-generated-content. It will examine the state-of-the-art methods currently employed to infer location, social behaviour, and traffic demand through a cloud-edge computing framework; combining them to form the input to proactive algorithms. The second part of the review focuses on exploiting and integrating the demand knowledge for a range of proactive optimisation techniques, including the key aspects of load balancing, mobile edge caching, and interference management. In both parts, appropriate state-of-the-art machine learning techniques (including probabilistic uncertainty cascades in proactive optimisation), complexity-performance trade-offs, and demonstrative examples are presented to inspire readers. This survey couples the potential of online big data analytics, cloud-edge computing, statistical machine learning, and proactive network optimisation in a common cross-layer wireless framework. The wider impact of this survey includes better cross-fertilising the academic fields of data analytics, mobile edge computing, AI, CPSS, and wireless communications, as well as informing the industry of the promising potentials in this area.",,10.1109/ACCESS.2020.2975004,"Optimization , 5G mobile communication , Cloud computing , Machine learning , Forecasting , Big Data , 3GPP ",,,,,,,,,,
65,Artificial Intelligence for Elastic Management and Orchestration of 5G Networks,"David M. Gutierrez-Estevez , Marco Gramaglia , Antonio De Domenico , Ghina Dandachi , Sina Khatibi , Dimitris Tsolkas , Irina Balan , Andres Garcia-Saavedra , Uri Elzur , Yue Wang ",IEEE Wireless Communications,1558-0687,26,5,,2019,IEEE,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8809570,"The emergence of 5G enables a broad set of diversified and heterogeneous services with complex and potentially conflicting demands. For networks to be able to satisfy those needs, a flexible, adaptable, and programmable architecture based on network slicing is being proposed. A softwarization and cloudification of the communications networks is required, where network functions (NFs) are being transformed from programs running on dedicated hardware platforms to programs running over a shared pool of computational and communication resources. This architectural framework allows the introduction of resource elasticity as a key means to make an efficient use of the computational resources of 5G systems, but adds challenges related to resource sharing and efficiency. In this article, we propose Artificial Intelligence (AI) as a built-in architectural feature that allows the exploitation of the resource elasticity of a 5G network. Building on the work of the recently formed Experiential Network Intelligence (ENI) industry specification group of the European Telecommunications Standards Institute (ETSI) to embed an AI engine in the network, we describe a novel taxonomy for learning mechanisms that target exploiting the elasticity of the network as well as three different resource elastic use cases leveraging AI. This work describes the basis of a use case recently approved at ETSI ENI.",,10.1109/MWC.2019.1800498,"Elasticity , Artificial intelligence , 5G mobile communication , Computer architecture , Resource management , Cloud computing , Network slicing ",,,,,,,,,,
66,Enhanced Machine Learning Techniques for Early HARQ Feedback Prediction in 5G,"Nils Strodthoff , Barış Göktepe , Thomas Schierl , Cornelius Hellge , Wojciech Samek ",IEEE Journal on Selected Areas in Communications,1558-0008,37,11,,2019,IEEE,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8792202,"We investigate Early Hybrid Automatic Repeat reQuest (E-HARQ) feedback schemes enhanced by machine learning techniques as a path towards ultra-reliable and low-latency communication (URLLC). To this end, we propose machine learning methods to predict the outcome of the decoding process ahead of the end of the transmission. We discuss different input features and classification algorithms ranging from traditional methods to newly developed supervised autoencoders. These methods are evaluated based on their prospects of complying with the URLLC requirements of effective block error rates below 10-5 at small latency overheads. We provide realistic performance estimates in a system model incorporating scheduling effects to demonstrate the feasibility of E-HARQ across different signal-to-noise ratios, subcode lengths, channel conditions and system loads, and show the benefit over regular HARQ and existing E-HARQ schemes without machine learning.",,10.1109/JSAC.2019.2934001,"Machine learning , Decoding , Probabilistic logic , Machine learning algorithms , Error analysis , Delays , Receivers ",,,,,,,,,,
67,Toward Smart and Cooperative Edge Caching for 5G Networks: A Deep Learning Based Approach,"Haitian Pang , Jiangchuan Liu , Xiaoyi Fan , Lifeng Sun ",2018 IEEE/ACM 26th International Symposium on Quality of Service (IWQoS),1548-615X,,,,2018,IEEE,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8624176,"The emerging 5G mobile networking promises ultrahigh network bandwidth and ultra-low communication latency (<;1ms), benefiting a wide range of applications, including live video streaming, online gaming, virtual and augmented reality, and Vehicle-to-X, to name but a few. The backbone Internet, however, does not keep up, particularly in latency (>100ms), due to its store-and-forward design and the physical barrier from signal propagation speed, not to mention congestion that frequently happens. Caching is known to be effective to bridge the speed gap, which has become a critical component in the 5G deployment as well. Besides storage, 5G base stations (BSs) will also be powered with strong computing modules, offering mobile edge computing (MEC) capability. This paper explores the potentials of edge computing towards improving the cache performance, and we envision a learning-based framework that facilitates smart caching beyond simple frequency- and time-based replace strategies and cooperation among base stations. Within this framework, we develop DeepCache, a deep-learning-based solution to understand the request patterns in individual base stations and accordingly make intelligent cache decisions. Using mobile video, one of the most popular applications with high traffic demand, as a case, we further develop a cooperation strategy for nearby base stations to collectively serve user requests. Experimental results on real-world dataset show that using the collaborative DeepCache algorithm, the overall transmission delay is reduced by 14%~22%, with a backhaul data traffic saving of 15%~23%.",,10.1109/IWQoS.2018.8624176,"5G mobile communication , Servers , Streaming media , Training , Deep learning , Base stations , Bandwidth ",,,,,,,,,,
68,Dynamic management of a deep learning-based anomaly detection system for 5G networks,"L Fernández Maimó, A Huertas Celdrán, ...",Journal of Ambient …,1868-5145,8,10,3083 – 3097,2019,Springer,https://idp.springer.com/authorize/casa?redirect_uri=https://link.springer.com/article/10.1007/s12652-018-0813-4&casa_token=5nYM-4mKQ7QAAAAA:r9nngOJxLkUF54yugnf24VRFC3JfdglP_c7FRMJhVnUwrzxvHXmWenBwBSPl3w7w06NYn2xeHVRxCULREg,"Fog and mobile edge computing (MEC) will play a key role in the upcoming fifth generation (5G) mobile networks to support decentralized applications, data analytics and management into the network itself by using a highly distributed compute model. Furthermore, increasing attention is paid to providing user-centric cybersecurity solutions, which particularly require collecting, processing and analyzing significantly large amount of data traffic and huge number of network connections in 5G networks. In this regard, this paper proposes a MEC-oriented solution in 5G mobile networks to detect network anomalies in real-time and in autonomic way. Our proposal uses deep learning techniques to analyze network flows and to detect network anomalies. Moreover, it uses policies in order to provide an efficient and dynamic management system of the computing resources used in the anomaly detection process. The paper presents relevant aspects of the deployment of the proposal and experimental results to show its performance.  ",,10.1007/s12652-018-0813-4,"Deep learning,  Anomaly detection,  Virtualization,  5G mobile networks",,,,,,,,,,
69,Intelligent network data analytics function in 5G cellular networks using machine learning,"Salih Sevgican , Meriç Turan , Kerim Gökarslan , H. Birkan Yilmaz , Tuna Tugcu ",Journal of Communications and Networks,1976-5541,22,3,,2020,KICS,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9143579,"5G cellular networks come with many new features compared to the legacy cellular networks, such as network data analytics function (NWDAF), which enables the network operators to either implement their own machine learning (ML) based data analytics methodologies or integrate third-party solutions to their networks. In this paper, the structure and the protocols of NWDAF that are defined in the 3rd Generation Partnership Project (3GPP) standard documents are first described. Then, cell-based synthetic data set for 5G networks based on the fields defined by the 3GPP specifications is generated. Further, some anomalies are added to this data set (e.g., suddenly increasing traffic in a particular cell), and then these anomalies within each cell, subscriber category, and user equipment are classified. Afterward, three ML models, namely, linear regression, long-short term memory, and recursive neural networks are implemented to study behaviour information estimation (e.g., anomalies in the network traffic) and network load prediction capabilities of NWDAF. For the prediction of network load, three different models are used to minimize the mean absolute error, which is calculated by subtracting the actual generated data from the model prediction value. For the classification of anomalies, two ML models are used to increase the area under the receiver operating characteristics curve, namely, logistic regression and extreme gradient boosting. According to the simulation results, neural network algorithms outperform linear regression in network load prediction, whereas the tree-based gradient boosting algorithm outperforms logistic regression in anomaly detection. These estimations are expected to increase the performance of the 5G network through NWDAF.",,10.1109/JCN.2020.000019,"5G mobile communication , Cellular networks , 3GPP , Data analysis , Machine learning , Load modeling , Data models ",,,,,,,,,,
70,Deep Learning for Security Problems in 5G Heterogeneous Networks,"Zhihan Lv , Amit Kumar Singh , Jinhua Li ",IEEE Network,1558-156X,35,2,,2021,IEEE,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9318424,"With increasingly complex network structure, requirements for heterogeneous 5G are also growing. The aim of this study is to meet the network security performance under the existing high-capacity and highly reliable transmission. In this context, deep learning technology is adopted to solve the security problem of the 5G heterogeneous network. First, the security problems existing in 5G heterogeneous networks are presented, mainly from two aspects of the physical layer security problems and application prospects of deep learning in communication technology. Then the combination of deep learning and 5G heterogeneous networks is analyzed. The combination of deep learning technology, modulation information recognition, and beam formation is introduced. The application of deep learning in communications technology is analyzed, and the modulation information recognition and beamforming based on deep learning are introduced. Finally, the challenges of solving security problems in 5G heterogeneous networks by deep learning are explored. The results show that the deep learning model can solve the modulation recognition problem well, and the modulation mode of the convolutional neural network can well identify the modulation signals involved in the experiment. Therefore, deep learning has a good advantage in solving modulation recognition. In addition, compared to the traditional algorithm, the unsupervised beamforming algorithm based on deep learning proposed in this research can effectively reduce the computational complexity under different numbers of transmitting antennas, which verifies the superiority of the unsupervised beamforming algorithm based on deep learning proposed in this research. Therefore, the present work provides a good idea for solving the security problem of 5G heterogeneous networks.",,10.1109/MNET.011.2000229,"Security , Heterogeneous networks , 5G mobile communication , Deep learning , Modulation , Communication networks , Communication systems ",,,,,,,,,,
71,Secure5G: A Deep Learning Framework Towards a Secure Network Slicing in 5G and Beyond,"Anurag Thantharate , Rahul Paropkari , Vijay Walunj , Cory Beard , Poonam Kankariya ",2020 10th Annual Computing and Communication Workshop and Conference (CCWC),,,,,2020,IEEE,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9031158,"Network Slicing will play a vital role in enabling a multitude of 5G applications, use cases, and services. Network slicing functions will provide an end-to-end isolation between slices with an ability to customize each slice based on the service demands (bandwidth, coverage, security, latency, reliability, etc.). Maintaining isolation of resources, traffic flow, and network functions between the slices is critical in protecting the network infrastructure system from Distributed Denial of Service (DDoS) attack. The 5G network demands and new feature sets to support ever-growing and complex business requirements have made existing approaches to network security inadequate. In this paper, we have developed a Neural Network based `Secure5G' Network Slicing model to proactively detect and eliminate threats based on incoming connections before they infest the 5G core network. `Secure5G' is a resilient model that quarantines the threats ensuring end-to-end security from device(s) to the core network, and to any of the external networks. Our designed model will enable the network operators to sell network slicing as-a-service to serve diverse services efficiently over a single infrastructure with high security and reliability.",,10.1109/CCWC47524.2020.9031158,"5G mobile communication , Network slicing , Computer crime , Computer architecture , 3GPP , Servers ",,,,,,,,,,
72,"Towards artificial intelligence enabled 6G: State of the art, challenges, and opportunities","S Zhang, D Zhu",Computer Networks,1389-1286,183,,107556,2020,Elsevier,https://www.sciencedirect.com/science/article/pii/S138912862031207X?casa_token=mpRKqDYl9dIAAAAA:SsgNJTNguppSPZ_6SqI266bCBLDX-XkDeV0tzPkc_tsFn0cSDGZNA6Gsn_8tEkcxmXAazy16LSM,"6G is expected to support the unprecedented Internet of everything scenarios with extremely diverse and challenging requirements. To fulfill such diverse requirements efficiently, 6G is envisioned to be space-aerial-terrestrial-ocean integrated three-dimension networks with different types of slices enabled by new technologies and paradigms to make the system more intelligent and flexible. As 6G networks are increasingly complex, heterogeneous and dynamic, it is very challenging to achieve efficient resource utilization, seamless user experience, automatic management and orchestration. With the advancement of big data processing technology, computing power and the availability of rich data, it is natural to tackle complex 6G network issues by leveraging artificial intelligence (AI). In this paper, we make a comprehensive survey about AI-empowered networks evolving towards 6G. We first present the vision of AI-enabled 6G system, the driving forces of introducing AI into 6G and the state of the art in machine learning. Then applying machine learning techniques to major 6G network issues including advanced radio interface, intelligent traffic control, security protection, management and orchestration, and network optimization is extensively discussed. Moreover, the latest progress of major standardization initiatives and industry research programs on applying machine learning to mobile networks evolving towards 6G are reviewed. Finally, we identify important open issues to inspire further studies towards an intelligent, efficient and secure 6G system.",,10.1016/j.comnet.2020.107556,"6G, Artificial intelligence, Radio technology, Traffic control, Management and orchestration, Network security, Network optimization, Network architecture",,,,,,,,,,
73,Redefining Wireless Communication for 6G: Signal Processing Meets Deep Learning With Deep Unfolding,"Anu Jagannath , Jithin Jagannath , Tommaso Melodia ",IEEE Transactions on Artificial Intelligence,2691-4581,2,6,,2021,IEEE,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9524496,"The year 2019 witnessed the rollout of the 5G standard, which promises to offer significant data rate improvement over 4G. While 5G is still in its infancy, there has been an increased shift in the research community for communication technologies beyond 5G. The recent emergence of machine learning approaches for enhancing wireless communications and empowering them with much-desired intelligence holds immense potential for redefining wireless communication for 6G. The evolving communication systems will be bottlenecked in terms of latency, throughput, and reliability by the underlying signal processing at the physical layer. In this position letter, we motivate the need to redesign iterative signal processing algorithms by leveraging deep unfolding techniques to fulfill the physical layer requirements for 6G networks. To this end, we begin by presenting the service requirements and the key challenges posed by the envisioned 6G communication architecture. We outline the deficiencies of the traditional algorithmic principles and data-hungry deep learning (DL) approaches in the context of 6G networks. Specifically, deep unfolded signal processing is presented by sketching the interplay between domain knowledge and DL. The deep unfolded approaches reviewed in this letter are positioned explicitly in the context of the requirements imposed by the next generation of cellular networks. Finally, this letter motivates open research challenges to truly realize hardware-efficient edge intelligence for future 6G networks. Impact Statement—In this letter, we discuss why the infusion of domain knowledge into machine learning frameworks holds the key to future embedded intelligent communication systems. Applying traditional signal processing and deep learning approaches independently entails significant computational and memory constraints. This becomes challenging in the context of future communication networks, such as 6G with significant communication demands where dense deployments of embedded Internet of Things (IoT) devices are envisioned. Hence, we put forth deep unfolded approaches as the potential enabling technology for 6G artificial intelligence (AI) radio to mitigate the computational and memory demands as well as to fulfill the future 6G latency, reliability, and throughput requirements. To this end, we present a general deep unfolding methodology that can be applied to iterative signal processing algorithms. Thereafter, we survey some initial steps taken in this direction and more importantly discuss the potential it has in overcoming challenges in the context of 6G requirements. This letter concludes by providing future research directions in this promising realm.",,10.1109/TAI.2021.3108129,"6G mobile communication , Physical layer , 5G mobile communication , Artificial intelligence , Wireless communication , Deep learning , Signal processing algorithms , Wireless networks ",,,,,,,,,,
