,title,authors,journal,issn,volume,issue,pages,year,publisher,url,abstract,notes,doi,keywords
65,Artificial intelligence for elastic management and orchestration of 5G networks,"DM Gutierrez-Estevez, M Gramaglia, ...",IEEE Wireless Communications,1558-0687,26,5,,2019,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8809570/?casa_token=f2lSjMfkUAUAAAAA:ev1yaVXcCACCr0rSTkosWPBET3yJpz1fM0FO68R22E271piL3Jrvj3TXEonbLkzD8bPpCz_g4ccS6w,"The emergence of 5G enables a broad set of diversified and heterogeneous services with complex and potentially conflicting demands. For networks to be able to satisfy those needs, a flexible, adaptable, and programmable architecture based on network slicing is being proposed. A softwarization and cloudification of the communications networks is required, where network functions (NFs) are being transformed from programs running on dedicated hardware platforms to programs running over a shared pool of computational and communication resources. This architectural framework allows the introduction of resource elasticity as a key means to make an efficient use of the computational resources of 5G systems, but adds challenges related to resource sharing and efficiency. In this article, we propose Artificial Intelligence (AI) as a built-in architectural feature that allows the exploitation of the resource elasticity of a 5G network. Building on the work of the recently formed Experiential Network Intelligence (ENI) industry specification group of the European Telecommunications Standards Institute (ETSI) to embed an AI engine in the network, we describe a novel taxonomy for learning mechanisms that target exploiting the elasticity of the network as well as three different resource elastic use cases leveraging AI. This work describes the basis of a use case recently approved at ETSI ENI.",,10.1109/MWC.2019.1800498,"Elasticity , Artificial intelligence , 5G mobile communication , Computer architecture , Resource management , Cloud computing , Network slicing "
66,Enhanced machine learning techniques for early HARQ feedback prediction in 5G,"N Strodthoff, B Göktepe, T Schierl, ...",IEEE Journal on Selected Areas in Communications,1558-0008,37,11,,2019,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8792202/,"We investigate Early Hybrid Automatic Repeat reQuest (E-HARQ) feedback schemes enhanced by machine learning techniques as a path towards ultra-reliable and low-latency communication (URLLC). To this end, we propose machine learning methods to predict the outcome of the decoding process ahead of the end of the transmission. We discuss different input features and classification algorithms ranging from traditional methods to newly developed supervised autoencoders. These methods are evaluated based on their prospects of complying with the URLLC requirements of effective block error rates below 10-5 at small latency overheads. We provide realistic performance estimates in a system model incorporating scheduling effects to demonstrate the feasibility of E-HARQ across different signal-to-noise ratios, subcode lengths, channel conditions and system loads, and show the benefit over regular HARQ and existing E-HARQ schemes without machine learning.",,10.1109/JSAC.2019.2934001,"Machine learning , Decoding , Probabilistic logic , Machine learning algorithms , Error analysis , Delays , Receivers "
67,Toward smart and cooperative edge caching for 5G networks: A deep learning based approach,"H Pang, J Liu, X Fan, L Sun",2018 IEEE/ACM 26th International Symposium on Quality of Service (IWQoS),1548-615X,,,,2018,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8624176/?casa_token=4DDJ4gsbFW0AAAAA:jNugKIQy3XEKCzfbpwuatg_IFC9VagXUorLnWfXPgRNWr9-Cvn97uzUnIjz8gaD3kjtHvd_RWMUpFg,"The emerging 5G mobile networking promises ultrahigh network bandwidth and ultra-low communication latency (<;1ms), benefiting a wide range of applications, including live video streaming, online gaming, virtual and augmented reality, and Vehicle-to-X, to name but a few. The backbone Internet, however, does not keep up, particularly in latency (>100ms), due to its store-and-forward design and the physical barrier from signal propagation speed, not to mention congestion that frequently happens. Caching is known to be effective to bridge the speed gap, which has become a critical component in the 5G deployment as well. Besides storage, 5G base stations (BSs) will also be powered with strong computing modules, offering mobile edge computing (MEC) capability. This paper explores the potentials of edge computing towards improving the cache performance, and we envision a learning-based framework that facilitates smart caching beyond simple frequency- and time-based replace strategies and cooperation among base stations. Within this framework, we develop DeepCache, a deep-learning-based solution to understand the request patterns in individual base stations and accordingly make intelligent cache decisions. Using mobile video, one of the most popular applications with high traffic demand, as a case, we further develop a cooperation strategy for nearby base stations to collectively serve user requests. Experimental results on real-world dataset show that using the collaborative DeepCache algorithm, the overall transmission delay is reduced by 14%~22%, with a backhaul data traffic saving of 15%~23%.",,10.1109/IWQoS.2018.8624176,"5G mobile communication , Servers , Streaming media , Training , Deep learning , Base stations , Bandwidth "
68,Dynamic management of a deep learning-based anomaly detection system for 5G networks,"L Fernández Maimó, A Huertas Celdrán, ...",Journal of Ambient …,,,,,2019,Springer,https://idp.springer.com/authorize/casa?redirect_uri=https://link.springer.com/article/10.1007/s12652-018-0813-4&casa_token=5nYM-4mKQ7QAAAAA:r9nngOJxLkUF54yugnf24VRFC3JfdglP_c7FRMJhVnUwrzxvHXmWenBwBSPl3w7w06NYn2xeHVRxCULREg,"… in 5G networks. In this regard, this paper proposes a MEC-oriented solution in 5G mobile … Our proposal uses deep learning techniques to analyze network flows and to detect network …",,,
69,Intelligent network data analytics function in 5G cellular networks using machine learning,"S Sevgican, M Turan, K Gökarslan, ...",Journal of Communications and Networks,1976-5541,22,3,,2020,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9143579/,"5G cellular networks come with many new features compared to the legacy cellular networks, such as network data analytics function (NWDAF), which enables the network operators to either implement their own machine learning (ML) based data analytics methodologies or integrate third-party solutions to their networks. In this paper, the structure and the protocols of NWDAF that are defined in the 3rd Generation Partnership Project (3GPP) standard documents are first described. Then, cell-based synthetic data set for 5G networks based on the fields defined by the 3GPP specifications is generated. Further, some anomalies are added to this data set (e.g., suddenly increasing traffic in a particular cell), and then these anomalies within each cell, subscriber category, and user equipment are classified. Afterward, three ML models, namely, linear regression, long-short term memory, and recursive neural networks are implemented to study behaviour information estimation (e.g., anomalies in the network traffic) and network load prediction capabilities of NWDAF. For the prediction of network load, three different models are used to minimize the mean absolute error, which is calculated by subtracting the actual generated data from the model prediction value. For the classification of anomalies, two ML models are used to increase the area under the receiver operating characteristics curve, namely, logistic regression and extreme gradient boosting. According to the simulation results, neural network algorithms outperform linear regression in network load prediction, whereas the tree-based gradient boosting algorithm outperforms logistic regression in anomaly detection. These estimations are expected to increase the performance of the 5G network through NWDAF.",,10.1109/JCN.2020.000019,"5G mobile communication , Cellular networks , 3GPP , Data analysis , Machine learning , Load modeling , Data models "
70,Deep learning for security problems in 5G heterogeneous networks,"Z Lv, AK Singh, J Li",IEEE Network,1558-156X,35,2,,2021,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9318424/?casa_token=ac-x0p4SZU8AAAAA:ufCGhO5QZUUxjXG6_-w19uA4zDtHAz3TPB-W3IgiqP94Lcx37cXju2fN6PUQNFpoDdbMKDDdUICJow,"With increasingly complex network structure, requirements for heterogeneous 5G are also growing. The aim of this study is to meet the network security performance under the existing high-capacity and highly reliable transmission. In this context, deep learning technology is adopted to solve the security problem of the 5G heterogeneous network. First, the security problems existing in 5G heterogeneous networks are presented, mainly from two aspects of the physical layer security problems and application prospects of deep learning in communication technology. Then the combination of deep learning and 5G heterogeneous networks is analyzed. The combination of deep learning technology, modulation information recognition, and beam formation is introduced. The application of deep learning in communications technology is analyzed, and the modulation information recognition and beamforming based on deep learning are introduced. Finally, the challenges of solving security problems in 5G heterogeneous networks by deep learning are explored. The results show that the deep learning model can solve the modulation recognition problem well, and the modulation mode of the convolutional neural network can well identify the modulation signals involved in the experiment. Therefore, deep learning has a good advantage in solving modulation recognition. In addition, compared to the traditional algorithm, the unsupervised beamforming algorithm based on deep learning proposed in this research can effectively reduce the computational complexity under different numbers of transmitting antennas, which verifies the superiority of the unsupervised beamforming algorithm based on deep learning proposed in this research. Therefore, the present work provides a good idea for solving the security problem of 5G heterogeneous networks.",,10.1109/MNET.011.2000229,"Security , Heterogeneous networks , 5G mobile communication , Deep learning , Modulation , Communication networks , Communication systems "
71,Secure5G: A deep learning framework towards a secure network slicing in 5G and beyond,"A Thantharate, R Paropkari, V Walunj, ...",2020 10th Annual Computing and Communication Workshop and Conference (CCWC),,,,,2020,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9031158/?casa_token=k6Vl5YGxfTkAAAAA:ND4DyK_Rz4KAq33PTwOmgDN9trwrbnOq6j1DYBb5sRE_KU1vE8i_OpqexoxuNaT0_omd-Hykq6wafg,"Network Slicing will play a vital role in enabling a multitude of 5G applications, use cases, and services. Network slicing functions will provide an end-to-end isolation between slices with an ability to customize each slice based on the service demands (bandwidth, coverage, security, latency, reliability, etc.). Maintaining isolation of resources, traffic flow, and network functions between the slices is critical in protecting the network infrastructure system from Distributed Denial of Service (DDoS) attack. The 5G network demands and new feature sets to support ever-growing and complex business requirements have made existing approaches to network security inadequate. In this paper, we have developed a Neural Network based `Secure5G' Network Slicing model to proactively detect and eliminate threats based on incoming connections before they infest the 5G core network. `Secure5G' is a resilient model that quarantines the threats ensuring end-to-end security from device(s) to the core network, and to any of the external networks. Our designed model will enable the network operators to sell network slicing as-a-service to serve diverse services efficiently over a single infrastructure with high security and reliability.",,10.1109/CCWC47524.2020.9031158,"5G mobile communication , Network slicing , Computer crime , Computer architecture , 3GPP , Servers "
72,"Towards artificial intelligence enabled 6G: State of the art, challenges, and opportunities","S Zhang, D Zhu",Computer Networks,,,,,2020,Elsevier,https://www.sciencedirect.com/science/article/pii/S138912862031207X?casa_token=mpRKqDYl9dIAAAAA:SsgNJTNguppSPZ_6SqI266bCBLDX-XkDeV0tzPkc_tsFn0cSDGZNA6Gsn_8tEkcxmXAazy16LSM,"… of AI-enabled 6G system, the driving forces of introducing AI into 6G and the state of the art in machine learning. Then applying machine learning techniques to major 6G network issues …",,,
73,Redefining wireless communication for 6G: Signal processing meets deep learning with deep unfolding,"A Jagannath, J Jagannath, ...",IEEE Transactions on Artificial Intelligence,2691-4581,2,6,,2021,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9524496/?casa_token=rHG7Rr94KC8AAAAA:7KzN1bHBjou-EoHOcrho8YQ9up44feCOymiIp1bs13_nd4TTAomkMUipyl_V0lYCT6R1x2VN0wNIbA,"The year 2019 witnessed the rollout of the 5G standard, which promises to offer significant data rate improvement over 4G. While 5G is still in its infancy, there has been an increased shift in the research community for communication technologies beyond 5G. The recent emergence of machine learning approaches for enhancing wireless communications and empowering them with much-desired intelligence holds immense potential for redefining wireless communication for 6G. The evolving communication systems will be bottlenecked in terms of latency, throughput, and reliability by the underlying signal processing at the physical layer. In this position letter, we motivate the need to redesign iterative signal processing algorithms by leveraging deep unfolding techniques to fulfill the physical layer requirements for 6G networks. To this end, we begin by presenting the service requirements and the key challenges posed by the envisioned 6G communication architecture. We outline the deficiencies of the traditional algorithmic principles and data-hungry deep learning (DL) approaches in the context of 6G networks. Specifically, deep unfolded signal processing is presented by sketching the interplay between domain knowledge and DL. The deep unfolded approaches reviewed in this letter are positioned explicitly in the context of the requirements imposed by the next generation of cellular networks. Finally, this letter motivates open research challenges to truly realize hardware-efficient edge intelligence for future 6G networks. Impact Statement—In this letter, we discuss why the infusion of domain knowledge into machine learning frameworks holds the key to future embedded intelligent communication systems. Applying traditional signal processing and deep learning approaches independently entails significant computational and memory constraints. This becomes challenging in the context of future communication networks, such as 6G with significant communication demands where dense deployments of embedded Internet of Things (IoT) devices are envisioned. Hence, we put forth deep unfolded approaches as the potential enabling technology for 6G artificial intelligence (AI) radio to mitigate the computational and memory demands as well as to fulfill the future 6G latency, reliability, and throughput requirements. To this end, we present a general deep unfolding methodology that can be applied to iterative signal processing algorithms. Thereafter, we survey some initial steps taken in this direction and more importantly discuss the potential it has in overcoming challenges in the context of 6G requirements. This letter concludes by providing future research directions in this promising realm.",,10.1109/TAI.2021.3108129,"6G mobile communication , Physical layer , 5G mobile communication , Artificial intelligence , Wireless communication , Deep learning , Signal processing algorithms , Wireless networks "
74,Decoding optimization for 5G LDPC codes by machine learning,"X Wu, M Jiang, C Zhao",IEEE Access,2169-3536,6,,,2018,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8458121/,"In this paper, we propose a generalized minimum-sum decoding algorithm using a linear approximation (LAMS) for protograph-based low-density parity-check (PB-LDPC) codes with quasi-cyclic (QC) structures. The linear approximation introduces some factors in each decoding iteration, which linearly adjust the check node updating and channel output. These factors are optimized iteratively using machine learning, where the optimization can be efficiently solved by a small and shallow neural network with training data produced by the LAMS decoder. The neural network is built according to the parity check matrix of a PB-LDPC code with a QC structure which can greatly reduce the size of the neural network. Since, we optimize the factors once per decoding iteration, the optimization is not limited by the number of the iterations. Then, we give the optimized results of the factors in the LAMS decoder and perform decoding simulations for PB-LDPC codes in fifth generation mobile networks (5G). In the simulations, the LAMS algorithm shows noticeable improvement over the normalized and the offset minimum-sum algorithms and even better performance than the belief propagation algorithm in some high signal-to-noise ratio regions.",,10.1109/ACCESS.2018.2869374,"Iterative decoding , Decoding , Approximation algorithms , Neural networks , Optimization , Machine learning "
75,Pirate: A blockchain-based secure framework of distributed machine learning in 5g networks,"S Zhou, H Huang, W Chen, P Zhou, Z Zheng, ...",IEEE Network,1558-156X,34,6,,2020,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9210138/?casa_token=enuDHdNUZI4AAAAA:wvbI8955JrzEWATYFvbQ6Za5Ad0uigIIMGvKBdLYyK43ncVbMA-1xSqfgnhrQH5kbNnBvlsPLbTfOQ,"In fifth-generation (5G) networks and beyond, communication latency and network bandwidth will be no longer be bottlenecks to mobile users. Thus, almost every mobile device can participate in distributed learning. That is, the availability issue of distributed learning can be eliminated. However, model safety will become a challenge. This is because the distributed learning system is prone to suffering from byzantine attacks during the stages of updating model parameters and aggregating gradients among multiple learning participants. Therefore, to provide the byzantine-resilience for distributed learning in the 5G era, this article proposes a secure computing framework based on the sharding technique of blockchain, namely PiRATE. To prove the feasibility of the proposed PiRATE, we implemented a prototype. A case study shows how the proposed PiRATE contributes to distributed learning. Finally, we also envision some open issues and challenges based on the proposed byzantine- resilient learning framework.",,10.1109/MNET.001.1900658,"Protocols , Machine learning , Computational modeling , Training , Peer-to-peer computing , 5G mobile communication "
76,Deep learning-based resource allocation for 5G broadband TV service,"P Yu, F Zhou, X Zhang, X Qiu, ...",IEEE Transactions on Broadcasting,1557-9611,66,4,,2020,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8989816/?casa_token=WpyiX0wWsyYAAAAA:XReOTm5HzzGDrST9m_L4upGAn-6mUOOwnApZABZM5ld4UyTfdRTvx3dIJBz38cy8uMFFoZnUX1S-9A,"The vision of next-generation TV is to support media services to achieve sharing of cross-domain experience, and the eMBB scenario of the 5G network is one of its important driving forces. Considering the bandwidth and resource requirements of different services, such as unicast and multicast services of multimedia TV broadcasting, rationally allocating resources while providing high-quality services and realizing green energy savings of base stations is one of the challenges. This paper is aimed at the resource allocation for TV multimedia service in the 5G wireless cloud network (C-RAN) scenario, which can support unicast services for cellular users and multicast services for broadcast services simultaneously, and it proposes the corresponding slice resources allocation architecture based on the concept of a self-organizing network. The management architecture first builds the functions and processes of the corresponding autonomous resource management. Based on the multidimensional data, an effective deep learning model named LSTM (long short-term memory) is used to construct the dynamic traffic model of the multicast service in space-time, which provides a basis for further network resource allocation. Based on the prediction results and the condition of satisfying the changing requirements of users, the corresponding optimization model is constructed with the goal of minimizing the energy usage of the RRHs (remote radio heads) and taking the QoS constraints of the users into account. A deep reinforcement learning (DRL) framework combined with a convex optimization method are then used to complete the users' bandwidth and power resource allocation. The experimental results show that the proposed method can not only predict the multicast service requirement accurately but also effectively improve the energy efficiency of the network under targeted QoS requirements along with time variations.",,10.1109/TBC.2020.2968730,"5G mobile communication , TV , Resource management , Predictive models , Digital multimedia broadcasting , Unicast , Wireless communication "
77,Deep learning for radio resource allocation with diverse quality-of-service requirements in 5G,"R Dong, C She, W Hardjawana, Y Li, ...",IEEE Transactions on Wireless Communications,1558-2248,20,4,,2020,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9286851/?casa_token=ALZx4paQP2YAAAAA:Rfhv7idi804_3Lr0IV5eFIbcZNRAFzNpQbb4BV2L6OwmA1-VCqYsVA1JupTK4R0-zIIB6yJXqXFqkg,"To accommodate diverse Quality-of-Service (QoS) requirements in 5th generation cellular networks, base stations need real-time optimization of radio resources in time-varying network conditions. This brings high computing overheads and long processing delays. In this work, we develop a deep learning framework to approximate the optimal resource allocation policy that minimizes the total power consumption of a base station by optimizing bandwidth and transmit power allocation. We find that a fully-connected neural network (NN) cannot fully guarantee the QoS requirements due to the approximation errors and quantization errors of the numbers of subcarriers. To tackle this problem, we propose a cascaded structure of NNs, where the first NN approximates the optimal bandwidth allocation, and the second NN outputs the transmit power required to satisfy the QoS requirement with given bandwidth allocation. Considering that the distribution of wireless channels and the types of services in the wireless networks are non-stationary, we apply deep transfer learning to update NNs in non-stationary wireless networks. Simulation results validate that the cascaded NNs outperform the fully connected NN in terms of QoS guarantee. In addition, deep transfer learning can reduce the number of training samples required to train the NNs remarkably.",,10.1109/TWC.2020.3041319,"Artificial neural networks , Quality of service , Resource management , Optimization , Ultra reliable low latency communication , Wireless networks , Delays "
78,Machine learning threatens 5G security,"J Suomalainen, A Juhola, S Shahabuddin, ...",IEEE Access,2169-3536,8,,,2020,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9229146/,"Machine learning (ML) is expected to solve many challenges in the fifth generation (5G) of mobile networks. However, ML will also open the network to several serious cybersecurity vulnerabilities. Most of the learning in ML happens through data gathered from the environment. Un-scrutinized data will have serious consequences on machines absorbing the data to produce actionable intelligence for the network. Scrutinizing the data, on the other hand, opens privacy challenges. Unfortunately, most of the ML systems are borrowed from other disciplines that provide excellent results in small closed environments. The resulting deployment of such ML systems in 5G can inadvertently open the network to serious security challenges such as unfair use of resources, denial of service, as well as leakage of private and confidential information. Therefore, in this article we dig into the weaknesses of the most prominent ML systems that are currently vigorously researched for deployment in 5G. We further classify and survey solutions for avoiding such pitfalls of ML in 5G systems.",,10.1109/ACCESS.2020.3031966,"5G mobile communication , Data models , Machine learning , Wireless networks , Computer security , Data privacy "
79,Blockchain and artificial intelligence for dynamic resource sharing in 6G and beyond,"S Hu, YC Liang, Z Xiong, ...",IEEE Wireless Communications,1558-0687,28,4,,2021,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9382024/?casa_token=0MgZu2yT3icAAAAA:QMDPMssAmy0dptGu2IWZ1gBQXHkAsLxWlQYdVI5ROUlEtTuv4O_GIylaGpux7jkeCsbUKMKIrtPsow,"Wireless resources, such as spectrum, computation, infrastructures and so on, are critical in 6G and beyond. Dynamic Resource Sharing (DRS), which improves the resource utilization compared to the static and fixed resource allocation, thus needs to be further exploited. Blockchain and AI are two promising techniques for DRS in 6G and beyond. In this article, a blockchain and AI-empow-ered DRS architecture is proposed, where block-chain is used to achieve the functionalities in DRS with improved distribution, security and automation, and AI is implemented to improve the performance of pattern recognition and decision-making in DRS. Finally, a case study where dynamic spectrum sharing is implemented within the proposed architecture, and deep reinforcement learning is used and shown to optimize the profit ratio of the users.",,10.1109/MWC.001.2000409,"Blockchains , Artificial intelligence , Resource management , 6G mobile communication , Dynamic scheduling , Smart contracts , Pattern recognition "
80,"Artificial-intelligence-enabled air interface for 6G: Solutions, challenges, and standardization impacts","S Han, T Xie, I Chih-Lin, L Chai, Z Liu, ...",IEEE Communications Magazine,1558-1896,58,10,,2020,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9247527/?casa_token=Wh0QMQELzkcAAAAA:SFJ3fxI5SxmKNS3LFMbnQkAj9HUKQAPHjhngf9d-PfX1zalxU-rFEtk40WnsMAnmRoqIR4i_aBwPRg,"As 3GPP has completed Release 16 specifications and worldwide 5G commercialization is speeding up, global interest in 6G is starting to grow. An interesting and important question is: will the rapid progress in artificial intelligence (AI) eventually alleviate the tremendous efforts required for future standardization of 6G and beyond? In this article, the potential impacts of AI on the air interface design and standardization are investigated. The AI-enabled network architecture is first discussed. The higher layer, physical layer, and cross-layer design empowered by AI capability are further presented. Based on these designs, the future 6G and beyond are expected to enter into an AI era. For potential new use cases and more challenging requirements, the network is capable of automatic updating the air interface protocols, which may substantially reduce the standardization efforts and costs of wireless communication networks.",,10.1109/MCOM.001.2000218,"Artificial intelligence , 6G mobile communication , Protocols , 5G mobile communication , Communication channels , Wireless communication "
81,Distributed artificial intelligence solution for D2D communication in 5G networks,"I Ioannou, V Vassiliou, C Christophorou, ...",IEEE Systems Journal,2373-7816,14,3,,2020,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9080591/?casa_token=F_aJY5rMCtUAAAAA:cI3KXvHRzjUIbtgoAqjPhrAjDKmsH4L6rWlWgBVopVwWTIiDP6_Ee617zW0_G5NexBUHrnclSNYBCw,"Device-to-device (D2D) communication, a core technology component of the evolving fifth-generation (5G) architecture, promises improvements in energy efficiency, spectral efficiency, overall system capacity, and higher data rates. These improvements in network performance spearheaded a vast amount of research in D2D, which identified significant challenges that need to be addressed before realizing their full potential in 5G networks, and beyond. Toward this end, this article proposes the use of a distributed intelligent approach to control the generation of D2D networks. More precisely, the proposed approach uses Belief Desire Intention (BDI) intelligent agents with extended capabilities (BDIx) to manage each D2D node independently and autonomously, without the help of the base station. To illustrate the above, this article proposes the DAIS algorithm for the decision of transmission mode in D2D, which maximizes the data rate and minimizes the power consumption in the network, while taking into consideration the computational load. Simulations show the applicability of BDI agents in solving D2D challenges.",,10.1109/JSYST.2020.2979044,"Device-to-device communication , Interference , 5G mobile communication , Relays , Intelligent agents , Cellular networks , Artificial intelligence "
82,Machine learning prediction approach to enhance congestion control in 5G IoT environment,"IA Najm, AK Hamoud, J Lloret, I Bosch",Electronics,,,,,2019,mdpi.com,https://www.mdpi.com/471384,… three machine learning techniques in congestion control in 5G … machine learning prediction techniques on hardware and test it in a real test-bed environment. Machine learning and 5G …,,,
83,When 5G meets deep learning: a systematic review,"GL Santos, PT Endo, D Sadok, J Kelner",Algorithms,,,,,2020,mdpi.com,https://www.mdpi.com/807044,"… spanning the used different deep learning models applied to 5G networks. We also cover other problems present in 5G networks, that demand the use of different deep learning models. …",,,
84,Machine learning-based network sub-slicing framework in a sustainable 5g environment,"SK Singh, MM Salim, J Cha, Y Pan, JH Park",Sustainability,,,,,2020,mdpi.com,https://www.mdpi.com/787976,"… sub-slicing in a 5G network environment based on Machine Learning, where resources are … Machine learning-based algorithms are used to learn the features of the application as well …",,,
85,Deep learning architectures for accurate millimeter wave positioning in 5G,"J Gante, G Falcao, L Sousa",Neural Processing Letters,,,,,2020,Springer,https://idp.springer.com/authorize/casa?redirect_uri=https://link.springer.com/article/10.1007/s11063-019-10073-1&casa_token=zx9_Pr5HnUMAAAAA:tv181gofo0ShfU2BqwkO0AY2Ue3b0PO-y2-ahLMFr6gco0zm7OZdyD7IgsgTUi_cLqdwBoqsaDwafxzgbg,"… 5G is expected to bring new wireless communication capabilities, yet at a cost of additional challenges. One of 5G’… This paper discusses a new system that, making use of deep learning …",,,
86,Deep learning and blockchain-empowered security framework for intelligent 5G-enabled IoT,"S Rathore, JH Park, H Chang",IEEE Access,2169-3536,9,,,2021,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9420742/,"Recently, many IoT applications, such as smart transportation, healthcare, and virtual and augmented reality experiences, have emerged with fifth-generation (5G) technology to enhance the Quality of Service (QoS) and user experience. The revolution of 5G-enabled IoT supports distinct attributes, including lower latency, higher system capacity, high data rate, and energy saving. However, such revolution also delivers considerable increment in data generation that further leads to a major requirement of intelligent and effective data analytic operation across the network. Furthermore, data growth gives rise to data security and privacy concerns, such as breach and loss of sensitive data. The conventional data analytic and security methods do not meet the requirement of 5G-enabled IoT including its unique characteristic of low latency and high throughput. In this paper, we propose a Deep Learning (DL) and blockchain-empowered security framework for intelligent 5G-enabled IoT that leverages DL competency for intelligent data analysis operation and blockchain for data security. The framework's hierarchical architecture wherein DL and blockchain operations emerge across the four layers of cloud, fog, edge, and user is presented. The framework is simulated and analyzed, employing various standard measures of latency, accuracy, and security to demonstrate its validity in practical applications.",,10.1109/ACCESS.2021.3077069,"Security , Internet of Things , Data analysis , Blockchain , Reliability , 5G mobile communication , Quality of service "
87,"Blockchain and artificial intelligence for 5G‐enabled Internet of Things: Challenges, opportunities, and solutions","A Dhar Dwivedi, R Singh, K Kaushik, ...",Transactions on …,,,,,2021,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1002/ett.4329?casa_token=KSIV-NvJeqwAAAAA:Eumv6c4zfIEjjhpweE40DveIuQnrAdUAlUq1xaqoNUE1naELzb-J3AoXepQ76UoFoyG_jnRJsDhx28Yg,… is a major issue where the 5G-enabled environment plays an … Merging artificial intelligence to 5G wireless systems solves … of providing functionality for a 5G-enabled IoT based network. …,,,
88,On the application of machine learning to the design of UAV-based 5G radio access networks,"V Kouhdaragh, F Verde, G Gelli, J Abouei",Electronics,,,,,2020,mdpi.com,https://www.mdpi.com/699178,"A groundbreaking design of radio access networks (RANs) is needed to fulfill 5G traffic requirements. To this aim, a cost-effective and flexible strategy consists of complementing …",,,
89,Patient-centric HetNets powered by machine learning and big data analytics for 6G networks,"MS Hadi, AQ Lawey, TEH El-Gorashi, ...",IEEE Access,2169-3536,8,,,2020,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9086596/,"Having a cognitive and self-optimizing network that proactively adapts not only to channel conditions, but also according to its users' needs can be one of the highest forthcoming priorities of future 6G Heterogeneous Networks (HetNets). In this paper, we introduce an interdisciplinary approach linking the concepts of e-healthcare, priority, big data analytics (BDA) and radio resource optimization in a multi-tier 5G network. We employ three machine learning (ML) algorithms, namely, naïve Bayesian (NB) classifier, logistic regression (LR), and decision tree (DT), working as an ensemble system to analyze historical medical records of stroke out-patients (OPs) and readings from body-attached internet-of-things (IoT) sensors to predict the likelihood of an imminent stroke. We convert the stroke likelihood into a risk factor functioning as a priority in a mixed integer linear programming (MILP) optimization model. Hence, the task is to optimally allocate physical resource blocks (PRBs) to HetNet users while prioritizing OPs by granting them high gain PRBs according to the severity of their medical state. Thus, empowering the OPs to send their critical data to their healthcare provider with minimized delay. To that end, two optimization approaches are proposed, a weighted sum rate maximization (WSRMax) approach and a proportional fairness (PF) approach. The proposed approaches increased the OPs' average signal to interference plus noise (SINR) by 57% and 95%, respectively. The WSRMax approach increased the system's total SINR to a level higher than that of the PF approach, nevertheless, the PF approach yielded higher SINRs for the OPs, better fairness and a lower margin of error.",,10.1109/ACCESS.2020.2992555,"Optimization , Machine learning , Big Data , Stroke (medical condition) , Resource management , Support vector machines , Interference "
90,Towards an FPGA-Accelerated programmable data path for edge-to-core communications in 5G networks,"R Ricart-Sanchez, P Malagon, P Salva-Garcia, ...",Journal of Network and …,,,,,2018,Elsevier,https://www.sciencedirect.com/science/article/pii/S1084804518302923?casa_token=a15Ct0SsEVIAAAAA:VWYWJyXmA3gDh8hWjOH7jMAgraLChPJluwWwkj23Q2im3Y2qBw0utG0zZg_LPsN8Pl9ENlX5fZQ,… of a FPGA NIC with nested encapsulation support for hardware acceleration suitable for 5G … architecture to achieve an FPGA-accelerated multi-tenant 5G network data path for the Edge…,,,
